hour,CPLE_solar
1/1/2023 0:00,2
1/1/2023 1:00,2
1/1/2023 2:00,-2
1/1/2023 3:00,-1
1/1/2023 4:00,-2
1/1/2023 5:00,-3
1/1/2023 6:00,-1
1/1/2023 7:00,-2
1/1/2023 8:00,-1
1/1/2023 9:00,-2
1/1/2023 10:00,-2
1/1/2023 11:00,-3
1/1/2023 12:00,0
1/1/2023 13:00,28
1/1/2023 14:00,328
1/1/2023 15:00,865
1/1/2023 16:00,1565
1/1/2023 17:00,1828
1/1/2023 18:00,1916
1/1/2023 19:00,1813
1/1/2023 20:00,1616
1/1/2023 21:00,1014
1/1/2023 22:00,265
1/1/2023 23:00,6
1/2/2023 0:00,6
1/2/2023 1:00,3
1/2/2023 2:00,-2
1/2/2023 3:00,-3
1/2/2023 4:00,-1
1/2/2023 5:00,-2
1/2/2023 6:00,-2
1/2/2023 7:00,0
1/2/2023 8:00,-2
1/2/2023 9:00,-1
1/2/2023 10:00,-2
1/2/2023 11:00,-1
1/2/2023 12:00,-2
1/2/2023 13:00,24
1/2/2023 14:00,267
1/2/2023 15:00,618
1/2/2023 16:00,962
1/2/2023 17:00,1167
1/2/2023 18:00,1525
1/2/2023 19:00,1755
1/2/2023 20:00,1445
1/2/2023 21:00,899
1/2/2023 22:00,276
1/2/2023 23:00,8
1/3/2023 0:00,3
1/3/2023 1:00,5
1/3/2023 2:00,-1
1/3/2023 3:00,-2
1/3/2023 4:00,0
1/3/2023 5:00,0
1/3/2023 6:00,-4
1/3/2023 7:00,-1
1/3/2023 8:00,-1
1/3/2023 9:00,-3
1/3/2023 10:00,-4
1/3/2023 11:00,-1
1/3/2023 12:00,-1
1/3/2023 13:00,41
1/3/2023 14:00,324
1/3/2023 15:00,889
1/3/2023 16:00,1515
1/3/2023 17:00,1715
1/3/2023 18:00,1592
1/3/2023 19:00,1178
1/3/2023 20:00,987
1/3/2023 21:00,654
1/3/2023 22:00,238
1/3/2023 23:00,12
1/4/2023 0:00,8
1/4/2023 1:00,7
1/4/2023 2:00,-1
1/4/2023 3:00,0
1/4/2023 4:00,-2
1/4/2023 5:00,-3
1/4/2023 6:00,0
1/4/2023 7:00,-3
1/4/2023 8:00,-2
1/4/2023 9:00,-3
1/4/2023 10:00,-2
1/4/2023 11:00,-2
1/4/2023 12:00,0
1/4/2023 13:00,9
1/4/2023 14:00,124
1/4/2023 15:00,424
1/4/2023 16:00,640
1/4/2023 17:00,738
1/4/2023 18:00,585
1/4/2023 19:00,346
1/4/2023 20:00,320
1/4/2023 21:00,269
1/4/2023 22:00,115
1/4/2023 23:00,8
1/5/2023 0:00,8
1/5/2023 1:00,9
1/5/2023 2:00,0
1/5/2023 3:00,-2
1/5/2023 4:00,-1
1/5/2023 5:00,-3
1/5/2023 6:00,-2
1/5/2023 7:00,0
1/5/2023 8:00,-2
1/5/2023 9:00,-2
1/5/2023 10:00,-2
1/5/2023 11:00,-1
1/5/2023 12:00,-4
1/5/2023 13:00,17
1/5/2023 14:00,367
1/5/2023 15:00,1062
1/5/2023 16:00,1450
1/5/2023 17:00,1651
1/5/2023 18:00,1820
1/5/2023 19:00,1814
1/5/2023 20:00,1766
1/5/2023 21:00,1220
1/5/2023 22:00,343
1/5/2023 23:00,13
1/6/2023 0:00,10
1/6/2023 1:00,5
1/6/2023 2:00,-2
1/6/2023 3:00,0
1/6/2023 4:00,-3
1/6/2023 5:00,-3
1/6/2023 6:00,-1
1/6/2023 7:00,0
1/6/2023 8:00,-3
1/6/2023 9:00,-1
1/6/2023 10:00,-2
1/6/2023 11:00,-2
1/6/2023 12:00,0
1/6/2023 13:00,47
