hour,DUK_solar
1/1/2023 0:00,-1
1/1/2023 1:00,-1
1/1/2023 2:00,-4
1/1/2023 3:00,0
1/1/2023 4:00,-2
1/1/2023 5:00,0
1/1/2023 6:00,-1
1/1/2023 7:00,-3
1/1/2023 8:00,-1
1/1/2023 9:00,-3
1/1/2023 10:00,-2
1/1/2023 11:00,-2
1/1/2023 12:00,-1
1/1/2023 13:00,0
1/1/2023 14:00,28
1/1/2023 15:00,91
1/1/2023 16:00,142
1/1/2023 17:00,180
1/1/2023 18:00,257
1/1/2023 19:00,364
1/1/2023 20:00,396
1/1/2023 21:00,271
1/1/2023 22:00,89
1/1/2023 23:00,0
1/2/2023 0:00,-1
1/2/2023 1:00,-1
1/2/2023 2:00,-2
1/2/2023 3:00,-3
1/2/2023 4:00,0
1/2/2023 5:00,-1
1/2/2023 6:00,-1
1/2/2023 7:00,-3
1/2/2023 8:00,0
1/2/2023 9:00,-1
1/2/2023 10:00,0
1/2/2023 11:00,-3
1/2/2023 12:00,0
1/2/2023 13:00,-2
1/2/2023 14:00,46
1/2/2023 15:00,129
1/2/2023 16:00,280
1/2/2023 17:00,529
1/2/2023 18:00,467
1/2/2023 19:00,448
1/2/2023 20:00,420
1/2/2023 21:00,294
1/2/2023 22:00,116
1/2/2023 23:00,2
1/3/2023 0:00,-1
1/3/2023 1:00,-1
1/3/2023 2:00,-3
1/3/2023 3:00,-1
1/3/2023 4:00,-1
1/3/2023 5:00,-1
1/3/2023 6:00,0
1/3/2023 7:00,-1
1/3/2023 8:00,-3
1/3/2023 9:00,-1
1/3/2023 10:00,-3
1/3/2023 11:00,-2
1/3/2023 12:00,-4
1/3/2023 13:00,1
1/3/2023 14:00,66
1/3/2023 15:00,154
1/3/2023 16:00,220
1/3/2023 17:00,216
1/3/2023 18:00,213
1/3/2023 19:00,218
1/3/2023 20:00,183
1/3/2023 21:00,124
1/3/2023 22:00,24
1/3/2023 23:00,-1
1/4/2023 0:00,0
1/4/2023 1:00,-1
1/4/2023 2:00,-1
1/4/2023 3:00,-1
1/4/2023 4:00,-3
1/4/2023 5:00,-2
1/4/2023 6:00,-1
1/4/2023 7:00,-2
1/4/2023 8:00,-2
1/4/2023 9:00,-1
1/4/2023 10:00,-1
1/4/2023 11:00,-1
1/4/2023 12:00,-1
1/4/2023 13:00,-1
1/4/2023 14:00,1
1/4/2023 15:00,12
1/4/2023 16:00,15
1/4/2023 17:00,43
1/4/2023 18:00,110
1/4/2023 19:00,153
1/4/2023 20:00,129
1/4/2023 21:00,87
1/4/2023 22:00,23
1/4/2023 23:00,-1
1/5/2023 0:00,-1
1/5/2023 1:00,-1
1/5/2023 2:00,-2
1/5/2023 3:00,-1
1/5/2023 4:00,0
1/5/2023 5:00,-3
1/5/2023 6:00,0
1/5/2023 7:00,-2
1/5/2023 8:00,0
1/5/2023 9:00,-2
1/5/2023 10:00,-1
1/5/2023 11:00,-2
1/5/2023 12:00,-4
1/5/2023 13:00,0
1/5/2023 14:00,159
1/5/2023 15:00,511
1/5/2023 16:00,546
1/5/2023 17:00,686
1/5/2023 18:00,639
1/5/2023 19:00,779
1/5/2023 20:00,716
1/5/2023 21:00,509
1/5/2023 22:00,171
1/5/2023 23:00,5
1/6/2023 0:00,0
1/6/2023 1:00,-2
1/6/2023 2:00,0
1/6/2023 3:00,-2
1/6/2023 4:00,0
1/6/2023 5:00,-1
1/6/2023 6:00,-2
1/6/2023 7:00,-3
1/6/2023 8:00,-3
1/6/2023 9:00,-1
1/6/2023 10:00,0
1/6/2023 11:00,0
1/6/2023 12:00,-1
1/6/2023 13:00,5
1/6/2023 14:00,186
1/6/2023 15:00,549
